Config,Variables_Interes,Variables_Condicionadas,Variables_Otras,Tiempo_Promedio_ms,Tiempo_Min_ms,Tiempo_Max_ms
"I=4,C=9,O=2",4,9,2,1.6087,1.3824,1.7372
"I=4,C=9,O=2",4,9,2,1.6948,1.6306,1.7360
"I=4,C=9,O=2",4,9,2,1.3831,1.3733,1.3998
"I=4,C=9,O=2",4,9,2,1.4176,1.3763,1.4809
"I=4,C=9,O=2",4,9,2,1.3910,1.3759,1.4090
"I=4,C=9,O=2",4,9,2,1.5683,1.3745,1.7255
"I=4,C=9,O=2",4,9,2,1.3980,1.3832,1.4266
"I=4,C=10,O=1",4,10,1,1.3608,1.3451,1.3713
"I=4,C=10,O=1",4,10,1,1.4692,1.3532,1.5661
"I=4,C=10,O=1",4,10,1,1.5520,1.3749,1.7883
"I=4,C=10,O=1",4,10,1,1.3568,1.3464,1.3629
"I=4,C=10,O=1",4,10,1,1.3516,1.3453,1.3625
"I=4,C=10,O=1",4,10,1,1.3482,1.3413,1.3577
"I=4,C=10,O=1",4,10,1,1.5912,1.5018,1.6506
"I=4,C=10,O=1",4,10,1,1.3548,1.3498,1.3627
"I=4,C=10,O=1",4,10,1,1.5439,1.4306,1.7003
"I=4,C=11,O=0",4,11,0,1.3839,1.3446,1.4442
"I=4,C=11,O=0",4,11,0,1.7834,1.6806,1.9236
"I=4,C=11,O=0",4,11,0,1.7084,1.6899,1.7311
"I=5,C=0,O=10",5,0,10,48.2257,45.0427,52.3878
"I=5,C=0,O=10",5,0,10,40.8529,39.2561,41.9616
"I=5,C=0,O=10",5,0,10,36.0245,35.8349,36.1794
"I=5,C=1,O=9",5,1,9,18.6735,17.7752,20.3615
"I=5,C=1,O=9",5,1,9,18.0324,17.3125,18.5706
"I=5,C=1,O=9",5,1,9,17.6326,17.1475,18.0110
"I=5,C=1,O=9",5,1,9,18.6767,18.2184,19.5370
"I=5,C=1,O=9",5,1,9,22.1969,17.8760,29.7690
"I=5,C=1,O=9",5,1,9,23.4268,18.5784,31.5053
"I=5,C=1,O=9",5,1,9,17.7183,17.3287,18.2150
"I=5,C=1,O=9",5,1,9,18.4778,18.2628,18.9027
"I=5,C=1,O=9",5,1,9,19.5308,18.0883,20.6026
"I=5,C=2,O=8",5,2,8,9.0258,8.9401,9.0841
"I=5,C=2,O=8",5,2,8,8.9975,8.8738,9.1610
"I=5,C=2,O=8",5,2,8,9.4233,9.1449,9.6902
"I=5,C=2,O=8",5,2,8,9.4416,9.4183,9.4841
"I=5,C=2,O=8",5,2,8,10.0632,9.1625,11.0479
"I=5,C=2,O=8",5,2,8,9.7013,9.3569,10.2776
"I=5,C=2,O=8",5,2,8,9.2299,9.1660,9.2980
"I=5,C=2,O=8",5,2,8,9.2869,9.1438,9.3664
"I=5,C=2,O=8",5,2,8,13.3559,11.3343,15.1984
"I=5,C=3,O=7",5,3,7,5.0121,4.9676,5.0550
"I=5,C=3,O=7",5,3,7,6.2760,5.2066,7.1912
"I=5,C=3,O=7",5,3,7,7.2725,7.1512,7.3791
"I=5,C=3,O=7",5,3,7,7.1321,6.2509,7.9252
"I=5,C=3,O=7",5,3,7,6.5224,6.3184,6.8134
"I=5,C=3,O=7",5,3,7,5.9437,5.4382,6.6060
"I=5,C=3,O=7",5,3,7,5.9160,5.0882,6.7806
"I=5,C=3,O=7",5,3,7,5.9374,5.3999,6.9080
"I=5,C=3,O=7",5,3,7,5.6013,5.3111,5.9511
"I=5,C=4,O=6",5,4,6,3.4466,3.2011,3.6472
"I=5,C=4,O=6",5,4,6,4.0313,3.6065,4.7099
"I=5,C=4,O=6",5,4,6,3.8635,3.5102,4.5571
"I=5,C=4,O=6",5,4,6,3.9249,3.3978,4.6284
"I=5,C=4,O=6",5,4,6,3.7858,3.2556,4.5562
"I=5,C=4,O=6",5,4,6,3.5413,3.2455,3.9104
"I=5,C=4,O=6",5,4,6,3.7343,3.4544,4.2278
"I=5,C=4,O=6",5,4,6,3.5378,3.2660,3.9551
"I=5,C=4,O=6",5,4,6,3.5452,3.4328,3.6413
"I=5,C=5,O=5",5,5,5,2.5322,2.2389,2.9654
"I=5,C=5,O=5",5,5,5,2.2589,2.2173,2.3328
"I=5,C=5,O=5",5,5,5,2.4009,2.2235,2.5682
"I=5,C=5,O=5",5,5,5,2.2748,2.2610,2.2906
"I=5,C=5,O=5",5,5,5,2.2807,2.2716,2.2981
"I=5,C=5,O=5",5,5,5,2.9117,2.3869,3.1742
"I=5,C=5,O=5",5,5,5,2.2638,2.2465,2.2819
"I=5,C=5,O=5",5,5,5,2.3709,2.2719,2.4311
"I=5,C=5,O=5",5,5,5,2.3370,2.3247,2.3466
"I=5,C=6,O=4",5,6,4,1.9948,1.7995,2.2268
"I=5,C=6,O=4",5,6,4,1.7932,1.7828,1.8128
"I=5,C=6,O=4",5,6,4,2.1635,1.8814,2.6461
"I=5,C=6,O=4",5,6,4,1.8110,1.7955,1.8283
"I=5,C=6,O=4",5,6,4,2.1557,2.0871,2.2128
"I=5,C=6,O=4",5,6,4,2.0758,1.8547,2.1914
"I=5,C=6,O=4",5,6,4,1.8076,1.7968,1.8283
"I=5,C=6,O=4",5,6,4,1.8042,1.7913,1.8255
"I=5,C=6,O=4",5,6,4,1.7896,1.7888,1.7904
"I=5,C=7,O=3",5,7,3,1.9809,1.6677,2.5129
"I=5,C=7,O=3",5,7,3,1.5780,1.5510,1.6059
"I=5,C=7,O=3",5,7,3,1.5591,1.5475,1.5794
"I=5,C=7,O=3",5,7,3,1.5561,1.5541,1.5587
"I=5,C=7,O=3",5,7,3,1.6120,1.5705,1.6654
"I=5,C=7,O=3",5,7,3,1.5546,1.5487,1.5576
"I=5,C=7,O=3",5,7,3,1.8600,1.5555,2.4133
"I=5,C=7,O=3",5,7,3,2.7773,2.7463,2.8056
"I=5,C=7,O=3",5,7,3,2.9040,2.8027,2.9949
"I=5,C=8,O=2",5,8,2,2.5882,2.2356,2.9220
"I=5,C=8,O=2",5,8,2,1.9249,1.9118,1.9392
"I=5,C=8,O=2",5,8,2,2.0473,1.9205,2.1469
"I=5,C=8,O=2",5,8,2,1.8233,1.7096,1.8918
"I=5,C=8,O=2",5,8,2,1.4400,1.4315,1.4445
"I=5,C=8,O=2",5,8,2,1.5414,1.4360,1.7000
"I=5,C=8,O=2",5,8,2,1.8976,1.7813,1.9873
"I=5,C=8,O=2",5,8,2,1.5380,1.4351,1.7415
"I=5,C=8,O=2",5,8,2,1.4371,1.4331,1.4393
"I=5,C=9,O=1",5,9,1,1.5286,1.3770,1.7027
"I=5,C=9,O=1",5,9,1,1.4464,1.3740,1.5897
"I=5,C=9,O=1",5,9,1,1.4070,1.3719,1.4630
"I=5,C=9,O=1",5,9,1,1.3853,1.3786,1.3891
"I=5,C=9,O=1",5,9,1,1.3926,1.3809,1.4138
"I=5,C=9,O=1",5,9,1,1.4249,1.3792,1.4851
"I=5,C=9,O=1",5,9,1,1.8478,1.7683,1.9668
"I=5,C=9,O=1",5,9,1,1.4417,1.3726,1.5580
"I=5,C=9,O=1",5,9,1,1.4738,1.3813,1.6584
"I=5,C=10,O=0",5,10,0,1.3897,1.3401,1.4849
"I=5,C=10,O=0",5,10,0,1.3593,1.3517,1.3671
"I=5,C=10,O=0",5,10,0,1.3612,1.3497,1.3820
"I=6,C=0,O=9",6,0,9,36.8131,35.2607,39.3769
"I=6,C=0,O=9",6,0,9,39.3599,35.8667,45.3443
"I=6,C=0,O=9",6,0,9,36.7466,35.6667,38.1969
"I=6,C=1,O=8",6,1,8,18.0987,17.7964,18.3930
"I=6,C=1,O=8",6,1,8,19.4314,18.1490,21.1591
"I=6,C=1,O=8",6,1,8,24.0555,20.0108,28.8176
"I=6,C=1,O=8",6,1,8,19.9314,19.2492,20.8308
"I=6,C=1,O=8",6,1,8,20.7913,19.5166,21.6789
"I=6,C=1,O=8",6,1,8,20.3867,18.9885,21.1277
"I=6,C=1,O=8",6,1,8,18.8808,18.5448,19.4257
"I=6,C=1,O=8",6,1,8,18.6787,18.0315,19.4172
"I=6,C=1,O=8",6,1,8,18.8081,18.3982,19.5289
"I=6,C=2,O=7",6,2,7,10.1017,9.7684,10.5614
"I=6,C=2,O=7",6,2,7,10.2675,9.6555,10.8343
"I=6,C=2,O=7",6,2,7,10.0756,9.4823,11.1635
"I=6,C=2,O=7",6,2,7,11.4257,10.1437,13.8899
"I=6,C=2,O=7",6,2,7,10.2585,9.7032,10.8924
"I=6,C=2,O=7",6,2,7,9.7942,9.7429,9.8328
"I=6,C=2,O=7",6,2,7,10.1443,9.6977,10.8010
"I=6,C=2,O=7",6,2,7,9.7493,9.5245,10.1797
"I=6,C=2,O=7",6,2,7,10.1785,9.6172,10.8542
"I=6,C=3,O=6",6,3,6,5.3881,5.3668,5.4138
"I=6,C=3,O=6",6,3,6,7.6149,6.5512,9.2522
"I=6,C=3,O=6",6,3,6,7.9146,6.8715,9.6416
"I=6,C=3,O=6",6,3,6,6.3839,6.1235,6.7709
"I=6,C=3,O=6",6,3,6,5.6870,5.4756,5.9656
"I=6,C=3,O=6",6,3,6,6.4027,6.0880,6.6635
"I=6,C=3,O=6",6,3,6,5.5609,5.4277,5.7982
"I=6,C=3,O=6",6,3,6,6.0240,5.4024,6.8719
"I=6,C=3,O=6",6,3,6,5.4083,5.3907,5.4435
"I=6,C=4,O=5",6,4,5,3.3718,3.3539,3.3940
"I=6,C=4,O=5",6,4,5,3.5572,3.3199,3.9249
"I=6,C=4,O=5",6,4,5,3.3213,3.3191,3.3240
"I=6,C=4,O=5",6,4,5,3.3767,3.3733,3.3825
"I=6,C=4,O=5",6,4,5,3.4002,3.3792,3.4401
"I=6,C=4,O=5",6,4,5,3.5034,3.3890,3.7252
"I=6,C=4,O=5",6,4,5,3.3714,3.3361,3.4323
"I=6,C=4,O=5",6,4,5,3.3614,3.3377,3.4051
"I=6,C=4,O=5",6,4,5,3.7794,3.3440,4.0597
"I=6,C=5,O=4",6,5,4,2.5134,2.3205,2.6880
"I=6,C=5,O=4",6,5,4,2.9239,2.5362,3.4622
"I=6,C=5,O=4",6,5,4,2.3317,2.3253,2.3379
"I=6,C=5,O=4",6,5,4,2.3616,2.3601,2.3625
"I=6,C=5,O=4",6,5,4,2.3589,2.3559,2.3611
"I=6,C=5,O=4",6,5,4,2.3579,2.3564,2.3590
"I=6,C=5,O=4",6,5,4,2.5008,2.3483,2.6421
"I=6,C=5,O=4",6,5,4,2.4702,2.3282,2.7024
"I=6,C=5,O=4",6,5,4,2.3311,2.3264,2.3335
"I=6,C=6,O=3",6,6,3,1.8177,1.8119,1.8213
"I=6,C=6,O=3",6,6,3,1.8415,1.8138,1.8848
"I=6,C=6,O=3",6,6,3,1.8197,1.8161,1.8219
"I=6,C=6,O=3",6,6,3,1.8305,1.8242,1.8374
"I=6,C=6,O=3",6,6,3,1.8792,1.8452,1.9050
"I=6,C=6,O=3",6,6,3,2.1761,1.8377,2.7480
"I=6,C=6,O=3",6,6,3,2.2180,2.2093,2.2263
"I=6,C=6,O=3",6,6,3,1.8751,1.8220,1.9754
"I=6,C=6,O=3",6,6,3,1.9570,1.8280,2.2100
"I=6,C=7,O=2",6,7,2,1.5736,1.5697,1.5788
"I=6,C=7,O=2",6,7,2,1.5703,1.5671,1.5731
"I=6,C=7,O=2",6,7,2,1.7327,1.5842,2.0094
"I=6,C=7,O=2",6,7,2,2.4715,1.5820,3.2303
"I=6,C=7,O=2",6,7,2,1.6905,1.5800,1.9104
"I=6,C=7,O=2",6,7,2,1.5733,1.5685,1.5822
"I=6,C=7,O=2",6,7,2,1.5769,1.5733,1.5807
"I=6,C=7,O=2",6,7,2,1.5760,1.5752,1.5772
"I=6,C=7,O=2",6,7,2,1.5778,1.5731,1.5832
"I=6,C=8,O=1",6,8,1,1.4437,1.4398,1.4461
"I=6,C=8,O=1",6,8,1,1.4844,1.4523,1.5336
"I=6,C=8,O=1",6,8,1,1.8629,1.4408,2.4602
"I=6,C=8,O=1",6,8,1,1.6649,1.5781,1.7954
"I=6,C=8,O=1",6,8,1,1.4506,1.4457,1.4562
"I=6,C=8,O=1",6,8,1,1.4453,1.4393,1.4505
"I=6,C=8,O=1",6,8,1,1.4443,1.4430,1.4463
"I=6,C=8,O=1",6,8,1,1.4436,1.4380,1.4496
"I=6,C=8,O=1",6,8,1,1.4438,1.4414,1.4461
"I=6,C=9,O=0",6,9,0,1.3796,1.3764,1.3849
"I=6,C=9,O=0",6,9,0,1.3916,1.3774,1.4159
"I=6,C=9,O=0",6,9,0,2.3776,2.1543,2.5019
"I=7,C=0,O=8",7,0,8,39.2224,36.3146,44.2290
"I=7,C=0,O=8",7,0,8,44.1320,39.9841,50.5698
"I=7,C=0,O=8",7,0,8,41.5787,38.6338,43.1997
"I=7,C=1,O=7",7,1,7,19.0686,18.8614,19.3679
"I=7,C=1,O=7",7,1,7,19.0833,18.7588,19.4808
"I=7,C=1,O=7",7,1,7,20.7695,19.1501,22.3335
"I=7,C=1,O=7",7,1,7,21.2475,19.7585,23.2057
"I=7,C=1,O=7",7,1,7,19.8003,19.5763,20.1061
"I=7,C=1,O=7",7,1,7,20.6279,20.0436,21.2728
"I=7,C=1,O=7",7,1,7,20.7729,20.3758,20.9795
"I=7,C=1,O=7",7,1,7,20.2760,19.7536,20.5952
"I=7,C=1,O=7",7,1,7,20.3191,19.8458,21.1903
"I=7,C=2,O=6",7,2,6,10.3240,9.9491,10.7762
"I=7,C=2,O=6",7,2,6,10.0856,10.0603,10.1350
"I=7,C=2,O=6",7,2,6,10.9216,10.2057,11.6126
"I=7,C=2,O=6",7,2,6,10.9516,10.4532,11.2098
"I=7,C=2,O=6",7,2,6,10.7490,10.3144,11.0360
"I=7,C=2,O=6",7,2,6,13.0970,10.4989,15.2915
"I=7,C=2,O=6",7,2,6,12.2023,11.2074,12.9811
"I=7,C=2,O=6",7,2,6,10.6326,10.3888,10.9433
"I=7,C=2,O=6",7,2,6,10.7349,10.3455,11.3545
"I=7,C=3,O=5",7,3,5,5.6600,5.6430,5.6730
"I=7,C=3,O=5",7,3,5,5.8340,5.6388,6.2232
"I=7,C=3,O=5",7,3,5,5.6513,5.6218,5.7060
"I=7,C=3,O=5",7,3,5,6.0377,5.7564,6.5945
"I=7,C=3,O=5",7,3,5,5.7553,5.7303,5.8031
"I=7,C=3,O=5",7,3,5,6.2393,5.7365,7.2384
"I=7,C=3,O=5",7,3,5,6.4621,6.0142,6.7282
"I=7,C=3,O=5",7,3,5,6.0146,5.7819,6.2033
"I=7,C=3,O=5",7,3,5,6.6997,6.0322,7.2044
"I=7,C=4,O=4",7,4,4,3.8272,3.5602,4.0778
"I=7,C=4,O=4",7,4,4,3.5081,3.4732,3.5672
"I=7,C=4,O=4",7,4,4,3.7360,3.4819,3.8874
"I=7,C=4,O=4",7,4,4,3.5199,3.5049,3.5375
"I=7,C=4,O=4",7,4,4,3.5069,3.5014,3.5101
"I=7,C=4,O=4",7,4,4,3.5219,3.5050,3.5528
"I=7,C=4,O=4",7,4,4,3.9233,3.5420,4.5828
"I=7,C=4,O=4",7,4,4,3.8217,3.6544,4.0929
"I=7,C=4,O=4",7,4,4,3.6728,3.5658,3.7600
"I=7,C=5,O=3",7,5,3,2.4333,2.4216,2.4392
"I=7,C=5,O=3",7,5,3,2.9132,2.4229,3.2196
"I=7,C=5,O=3",7,5,3,2.9487,2.4053,3.3129
"I=7,C=5,O=3",7,5,3,2.4249,2.4098,2.4487
"I=7,C=5,O=3",7,5,3,2.4155,2.4115,2.4188
"I=7,C=5,O=3",7,5,3,2.4539,2.4086,2.5435
"I=7,C=5,O=3",7,5,3,2.6741,2.4397,3.0839
"I=7,C=5,O=3",7,5,3,2.4678,2.4391,2.5140
"I=7,C=5,O=3",7,5,3,2.7537,2.5039,3.2374
"I=7,C=6,O=2",7,6,2,1.8707,1.8536,1.9016
"I=7,C=6,O=2",7,6,2,2.0310,1.8504,2.3884
"I=7,C=6,O=2",7,6,2,1.9574,1.8535,2.1599
"I=7,C=6,O=2",7,6,2,1.9151,1.8710,2.0019
"I=7,C=6,O=2",7,6,2,2.0269,1.8610,2.2339
"I=7,C=6,O=2",7,6,2,2.0557,1.8993,2.2981
"I=7,C=6,O=2",7,6,2,1.9052,1.8769,1.9605
"I=7,C=6,O=2",7,6,2,1.8843,1.8740,1.9022
"I=7,C=6,O=2",7,6,2,1.9095,1.8848,1.9421
"I=7,C=7,O=1",7,7,1,1.9226,1.8248,1.9747
"I=7,C=7,O=1",7,7,1,1.6833,1.5839,1.8711
"I=7,C=7,O=1",7,7,1,1.9744,1.7144,2.4755
"I=7,C=7,O=1",7,7,1,1.7411,1.6944,1.8122
"I=7,C=7,O=1",7,7,1,1.6580,1.5891,1.7525
"I=7,C=7,O=1",7,7,1,1.6366,1.5893,1.7284
"I=7,C=7,O=1",7,7,1,1.6477,1.5982,1.7361
"I=7,C=7,O=1",7,7,1,1.7265,1.6665,1.8124
"I=7,C=7,O=1",7,7,1,1.6092,1.5971,1.6279
"I=7,C=8,O=0",7,8,0,1.4845,1.4540,1.5399
"I=7,C=8,O=0",7,8,0,2.0307,1.6221,2.3673
"I=7,C=8,O=0",7,8,0,1.5176,1.4677,1.6152
"I=8,C=0,O=7",8,0,7,45.8382,39.9236,52.7387
"I=8,C=0,O=7",8,0,7,44.1676,43.5760,45.3161
"I=8,C=0,O=7",8,0,7,44.0375,42.4110,45.2742
"I=8,C=1,O=6",8,1,6,20.9923,20.4167,21.4911
"I=8,C=1,O=6",8,1,6,20.1725,19.7947,20.3823
"I=8,C=1,O=6",8,1,6,21.4665,20.1277,22.4715
"I=8,C=1,O=6",8,1,6,23.0401,20.8329,26.1919
"I=8,C=1,O=6",8,1,6,22.0841,21.4395,22.7428
"I=8,C=1,O=6",8,1,6,21.9168,21.4260,22.2268
"I=8,C=1,O=6",8,1,6,22.8034,21.8946,24.4325
"I=8,C=1,O=6",8,1,6,23.3959,21.1421,25.9568
"I=8,C=1,O=6",8,1,6,22.0008,21.2796,22.5143
"I=8,C=2,O=5",8,2,5,10.7291,10.6696,10.8192
"I=8,C=2,O=5",8,2,5,11.4182,10.9988,11.8032
"I=8,C=2,O=5",8,2,5,11.0545,10.4592,11.6107
"I=8,C=2,O=5",8,2,5,11.2800,11.0775,11.4101
"I=8,C=2,O=5",8,2,5,11.9276,11.3180,12.3213
"I=8,C=2,O=5",8,2,5,11.8909,11.1496,12.3461
"I=8,C=2,O=5",8,2,5,17.0609,13.1531,21.4263
"I=8,C=2,O=5",8,2,5,12.0431,11.7441,12.4500
"I=8,C=2,O=5",8,2,5,11.4638,11.2701,11.8506
"I=8,C=3,O=4",8,3,4,6.0313,5.9123,6.1695
"I=8,C=3,O=4",8,3,4,5.9482,5.8804,6.0094
"I=8,C=3,O=4",8,3,4,6.3198,5.8930,6.6450
"I=8,C=3,O=4",8,3,4,6.1698,6.1616,6.1841
"I=8,C=3,O=4",8,3,4,7.0734,6.4807,8.2153
"I=8,C=3,O=4",8,3,4,7.0242,6.3023,8.2740
"I=8,C=3,O=4",8,3,4,6.5225,6.2292,6.9674
"I=8,C=3,O=4",8,3,4,6.2604,6.2234,6.3179
"I=8,C=3,O=4",8,3,4,6.2837,6.2377,6.3151
"I=8,C=4,O=3",8,4,3,3.8336,3.6172,4.2360
"I=8,C=4,O=3",8,4,3,3.5996,3.5956,3.6057
"I=8,C=4,O=3",8,4,3,3.6296,3.6034,3.6804
"I=8,C=4,O=3",8,4,3,3.9989,3.7066,4.5658
"I=8,C=4,O=3",8,4,3,3.7149,3.7121,3.7169
"I=8,C=4,O=3",8,4,3,3.7189,3.7136,3.7254
"I=8,C=4,O=3",8,4,3,3.8103,3.7841,3.8584
"I=8,C=4,O=3",8,4,3,4.5896,4.3389,4.7994
"I=8,C=4,O=3",8,4,3,3.9624,3.7991,4.0824
"I=8,C=5,O=2",8,5,2,2.5160,2.4666,2.5514
"I=8,C=5,O=2",8,5,2,2.4667,2.4646,2.4692
"I=8,C=5,O=2",8,5,2,2.7823,2.4678,3.0375
"I=8,C=5,O=2",8,5,2,2.5642,2.5146,2.6221
"I=8,C=5,O=2",8,5,2,2.5163,2.5062,2.5294
"I=8,C=5,O=2",8,5,2,2.5037,2.5009,2.5064
"I=8,C=5,O=2",8,5,2,2.8386,2.5761,3.0138
"I=8,C=5,O=2",8,5,2,2.9347,2.6988,3.1079
"I=8,C=5,O=2",8,5,2,2.5430,2.5325,2.5484
"I=8,C=6,O=1",8,6,1,1.8958,1.8912,1.9027
"I=8,C=6,O=1",8,6,1,2.0054,1.8978,2.1586
"I=8,C=6,O=1",8,6,1,1.8937,1.8890,1.8985
"I=8,C=6,O=1",8,6,1,2.1494,1.9293,2.2865
"I=8,C=6,O=1",8,6,1,2.2265,1.9104,2.8496
"I=8,C=6,O=1",8,6,1,2.1214,1.9145,2.4229
"I=8,C=6,O=1",8,6,1,2.0144,1.9339,2.0839
"I=8,C=6,O=1",8,6,1,1.9267,1.9237,1.9291
"I=8,C=6,O=1",8,6,1,1.9282,1.9266,1.9300
"I=8,C=7,O=0",8,7,0,1.6484,1.5929,1.7049
"I=8,C=7,O=0",8,7,0,1.6702,1.6146,1.7748
"I=8,C=7,O=0",8,7,0,1.7532,1.6184,1.9791
"I=9,C=0,O=6",9,0,6,44.7518,44.2137,45.4233
"I=9,C=0,O=6",9,0,6,53.8098,48.5721,60.9183
"I=9,C=0,O=6",9,0,6,50.2447,48.7843,51.8185
"I=9,C=1,O=5",9,1,5,24.7903,23.6621,25.7810
"I=9,C=1,O=5",9,1,5,23.4794,23.1510,23.7148
"I=9,C=1,O=5",9,1,5,22.8820,22.5519,23.5058
"I=9,C=1,O=5",9,1,5,24.2290,24.0092,24.3548
"I=9,C=1,O=5",9,1,5,24.3035,23.8160,24.6716
"I=9,C=1,O=5",9,1,5,24.1536,23.3693,24.9234
"I=9,C=1,O=5",9,1,5,24.4533,24.1134,24.6481
"I=9,C=1,O=5",9,1,5,24.9254,24.0269,25.6549
"I=9,C=1,O=5",9,1,5,25.1892,25.0581,25.3147
"I=9,C=2,O=4",9,2,4,12.5164,12.1465,12.9283
"I=9,C=2,O=4",9,2,4,13.7497,13.1741,14.8983
"I=9,C=2,O=4",9,2,4,14.1552,13.8396,14.3293
"I=9,C=2,O=4",9,2,4,12.5315,12.4354,12.7154
"I=9,C=2,O=4",9,2,4,12.6167,12.4391,12.7186
"I=9,C=2,O=4",9,2,4,12.6776,12.2735,13.4825
"I=9,C=2,O=4",9,2,4,13.1425,12.7558,13.5116
"I=9,C=2,O=4",9,2,4,12.8113,12.5182,13.0996
"I=9,C=2,O=4",9,2,4,12.5901,12.4886,12.7009
"I=9,C=3,O=3",9,3,3,7.1366,6.6646,7.6887
"I=9,C=3,O=3",9,3,3,6.9963,6.8430,7.0777
"I=9,C=3,O=3",9,3,3,7.0091,6.5714,7.7235
"I=9,C=3,O=3",9,3,3,7.0657,6.7561,7.6804
"I=9,C=3,O=3",9,3,3,7.5277,6.8444,8.3247
"I=9,C=3,O=3",9,3,3,6.9423,6.7256,7.1089
"I=9,C=3,O=3",9,3,3,7.4847,7.0654,7.9338
"I=9,C=3,O=3",9,3,3,7.0698,7.0235,7.1622
"I=9,C=3,O=3",9,3,3,7.6555,7.1347,8.5844
"I=9,C=4,O=2",9,4,2,3.9582,3.9282,3.9910
"I=9,C=4,O=2",9,4,2,3.9568,3.9019,4.0465
"I=9,C=4,O=2",9,4,2,4.4089,3.9473,4.9537
"I=9,C=4,O=2",9,4,2,4.1758,4.0235,4.2867
"I=9,C=4,O=2",9,4,2,4.0902,4.0179,4.1851
"I=9,C=4,O=2",9,4,2,4.7476,4.0432,5.5116
"I=9,C=4,O=2",9,4,2,4.1071,4.0974,4.1244
"I=9,C=4,O=2",9,4,2,4.2709,4.1135,4.5292
"I=9,C=4,O=2",9,4,2,4.3327,4.1145,4.7582
"I=9,C=5,O=1",9,5,1,2.9672,2.6101,3.3891
"I=9,C=5,O=1",9,5,1,2.7116,2.6074,2.9178
"I=9,C=5,O=1",9,5,1,2.6313,2.6042,2.6583
"I=9,C=5,O=1",9,5,1,2.6629,2.6590,2.6672
"I=9,C=5,O=1",9,5,1,3.0747,2.6734,3.8026
"I=9,C=5,O=1",9,5,1,2.7249,2.6867,2.7963
"I=9,C=5,O=1",9,5,1,2.8662,2.6988,3.1942
"I=9,C=5,O=1",9,5,1,2.8654,2.7033,3.0461
"I=9,C=5,O=1",9,5,1,2.7039,2.6992,2.7080
"I=9,C=6,O=0",9,6,0,3.0114,1.9471,3.9072
"I=9,C=6,O=0",9,6,0,2.4586,2.1725,2.6774
"I=9,C=6,O=0",9,6,0,1.9988,1.9947,2.0032
"I=10,C=0,O=5",10,0,5,55.1199,49.9496,62.8302
"I=10,C=0,O=5",10,0,5,52.1044,50.7633,53.8595
"I=10,C=0,O=5",10,0,5,53.4746,52.7020,54.0116
"I=10,C=1,O=4",10,1,4,25.8241,25.4525,26.2592
"I=10,C=1,O=4",10,1,4,26.0631,25.2774,27.0899
"I=10,C=1,O=4",10,1,4,32.7984,28.6495,40.2645
"I=10,C=1,O=4",10,1,4,28.6433,27.6710,29.4647
"I=10,C=1,O=4",10,1,4,28.2279,27.2756,29.2883
"I=10,C=1,O=4",10,1,4,26.9599,26.8083,27.0657
"I=10,C=1,O=4",10,1,4,27.7718,27.6533,27.9098
"I=10,C=1,O=4",10,1,4,27.9290,27.6395,28.1476
"I=10,C=1,O=4",10,1,4,27.7574,27.3982,28.0574
"I=10,C=2,O=3",10,2,3,16.4133,13.7961,19.8760
"I=10,C=2,O=3",10,2,3,13.9339,13.2920,15.2038
"I=10,C=2,O=3",10,2,3,13.2864,13.1003,13.4391
"I=10,C=2,O=3",10,2,3,14.1006,13.6450,14.7700
"I=10,C=2,O=3",10,2,3,14.1989,13.4736,14.8793
"I=10,C=2,O=3",10,2,3,14.4776,13.8304,15.4938
"I=10,C=2,O=3",10,2,3,14.7698,14.2341,15.3781
"I=10,C=2,O=3",10,2,3,15.7467,14.5497,17.3832
"I=10,C=2,O=3",10,2,3,19.1843,15.5766,25.3255
"I=10,C=3,O=2",10,3,2,7.7891,7.3099,8.3189
"I=10,C=3,O=2",10,3,2,7.8968,7.4478,8.5793
"I=10,C=3,O=2",10,3,2,7.7607,7.2415,8.7451
"I=10,C=3,O=2",10,3,2,7.6819,7.3744,8.2865
"I=10,C=3,O=2",10,3,2,8.1678,7.3795,9.6548
"I=10,C=3,O=2",10,3,2,7.3805,7.3686,7.3931
"I=10,C=3,O=2",10,3,2,9.5173,7.6047,11.4179
"I=10,C=3,O=2",10,3,2,7.5332,7.5233,7.5491
"I=10,C=3,O=2",10,3,2,7.7609,7.5195,8.2244
"I=10,C=4,O=1",10,4,1,4.2034,4.2015,4.2068
"I=10,C=4,O=1",10,4,1,4.3730,4.2049,4.7091
"I=10,C=4,O=1",10,4,1,4.1965,4.1831,4.2098
"I=10,C=4,O=1",10,4,1,4.3006,4.2957,4.3066
"I=10,C=4,O=1",10,4,1,4.8859,4.3213,6.0135
"I=10,C=4,O=1",10,4,1,4.3318,4.3076,4.3768
"I=10,C=4,O=1",10,4,1,4.5603,4.4070,4.7574
"I=10,C=4,O=1",10,4,1,4.6929,4.4195,5.2216
"I=10,C=4,O=1",10,4,1,4.3767,4.3655,4.3847
"I=10,C=5,O=0",10,5,0,2.7319,2.7291,2.7350
"I=10,C=5,O=0",10,5,0,2.7845,2.7801,2.7872
"I=10,C=5,O=0",10,5,0,3.0401,2.8227,3.4727
"I=11,C=0,O=4",11,0,4,54.8650,53.2216,56.5004
"I=11,C=0,O=4",11,0,4,64.1926,55.2667,81.9273
"I=11,C=0,O=4",11,0,4,59.5373,58.8451,60.6095
